Date,Open,High,Low,Close,Adj Close,Volume
2/19/2019,306.559998,311.540009,305.470001,305.640015,305.640015,4168400
2/20/2019,304.410004,306.299988,299,302.559998,302.559998,7142100
2/21/2019,301.809998,303.23999,290.5,291.230011,291.230011,8909200
2/22/2019,294.48999,296.5,292.100006,294.709991,294.709991,5740600
2/25/2019,297.910004,302.899994,297,298.769989,298.769989,6626500
2/26/2019,292.220001,302.01001,288.769989,297.859985,297.859985,8582500
2/27/2019,301.779999,316.299988,300.549988,314.73999,314.73999,11183900
2/28/2019,318.920013,320,310.809998,319.880005,319.880005,10520700
3/1/2019,306.940002,307.130005,291.899994,294.790009,294.790009,22911400
3/4/2019,298.119995,299,282.779999,285.359985,285.359985,17096800
3/5/2019,282,284,270.100006,276.540009,276.540009,18764700
3/6/2019,276.480011,281.51001,274.390015,276.23999,276.23999,10335500
3/7/2019,278.839996,284.700012,274.25,276.589996,276.589996,9442500
3/8/2019,276.910004,285.589996,275.890015,284.140015,284.140015,8819600
3/11/2019,283.519989,291.279999,280.5,290.920013,290.920013,7392300
3/12/2019,286.48999,288.070007,281.059998,283.359985,283.359985,7504100
3/13/2019,283.899994,291.98999,282.700012,288.959991,288.959991,6844700
3/14/2019,292.450012,295.390015,288.290009,289.959991,289.959991,7103400
3/15/2019,283.51001,283.720001,274.399994,275.429993,275.429993,14785500
3/18/2019,276,278.049988,267.299988,269.48999,269.48999,10281000
3/19/2019,267.5,273.299988,263.459991,267.470001,267.470001,11800600
3/20/2019,269.690002,274.970001,266.299988,273.600006,273.600006,6908200
3/21/2019,272.600006,276.450012,268.450012,274.019989,274.019989,5947100
3/22/2019,272.579987,272.799988,264,264.529999,264.529999,8745600
3/25/2019,259.709991,263.179993,254.460007,260.420013,260.420013,10215000
3/26/2019,264.440002,270.26001,264.429993,267.769989,267.769989,7350900
3/27/2019,268.75,275.369995,268.179993,274.829987,274.829987,8779200
3/28/2019,277.160004,280.329987,275.100006,278.619995,278.619995,6774100
3/29/2019,278.700012,280.160004,274.5,279.859985,279.859985,5991300
4/1/2019,282.619995,289.200012,281.279999,289.179993,289.179993,8110400
4/2/2019,288.299988,289.440002,283.880005,285.880005,285.880005,5478900
4/3/2019,287.320007,296.170013,287.170013,291.809998,291.809998,7919400
4/4/2019,261.890015,271.200012,260.589996,267.779999,267.779999,23720700
4/5/2019,269.859985,276.100006,266.109985,274.959991,274.959991,13038300
4/8/2019,277.690002,281.160004,270.440002,273.200012,273.200012,10410400
4/9/2019,271.649994,275,269.609985,272.309998,272.309998,5904000
4/10/2019,276.73999,278.380005,272.890015,276.059998,276.059998,7061300
4/11/2019,268.299988,270.5,265.600006,268.420013,268.420013,9835900
4/12/2019,270.220001,271.950012,266.829987,267.700012,267.700012,6746000
4/15/2019,268.630005,268.880005,258.630005,266.380005,266.380005,10038600
4/16/2019,265.75,275,264.720001,273.359985,273.359985,7272900
4/17/2019,274.75,274.790009,268.540009,271.230011,271.230011,5126500
4/18/2019,271.230011,274.839996,269.75,273.26001,273.26001,5876300
4/22/2019,269,269.679993,262.480011,262.75,262.75,12147100
4/23/2019,260.149994,265.600006,255.75,263.899994,263.899994,10943900
4/24/2019,263.850006,265.320007,258,258.660004,258.660004,10727500
4/25/2019,255,259,246.070007,247.630005,247.630005,21849400
4/26/2019,246.5,246.679993,231.130005,235.139999,235.139999,22360700
4/29/2019,235.860001,243.979996,232.169998,241.470001,241.470001,16714500
4/30/2019,242.059998,244.210007,237,238.690002,238.690002,9464600
5/1/2019,238.850006,240,231.5,234.009995,234.009995,10704400
5/2/2019,245.520004,247.130005,237.720001,244.100006,244.100006,18159300
5/3/2019,243.860001,256.609985,243.490005,255.029999,255.029999,23706800
5/6/2019,250.020004,258.350006,248.5,255.339996,255.339996,10833900
5/7/2019,256.799988,257.209991,245.100006,247.059998,247.059998,10131400
5/8/2019,246.940002,250.600006,244.199997,244.839996,244.839996,6176400
5/9/2019,242,243.679993,236.940002,241.979996,241.979996,6711400
5/10/2019,239.75,241.990005,236.020004,239.520004,239.520004,7008300
5/13/2019,232.009995,232.470001,224.5,227.009995,227.009995,10834800
5/14/2019,229.300003,234.5,228,232.309998,232.309998,7252400
5/15/2019,229.320007,232.440002,225.25,231.949997,231.949997,7296000
5/16/2019,229.490005,231,226.5,228.330002,228.330002,7483300
5/17/2019,221.960007,222.240005,208.919998,211.029999,211.029999,17786700
5/20/2019,202.800003,206,195.25,205.360001,205.360001,20526200
5/21/2019,197.759995,207.399994,196.039993,205.080002,205.080002,18003900
5/22/2019,199.100006,203.940002,191.779999,192.729996,192.729996,18685200
5/23/2019,194.339996,199.470001,186.220001,195.490005,195.490005,26547100
5/24/2019,199.830002,199.979996,188.75,190.630005,190.630005,14136600
5/28/2019,191.199997,195,187.850006,188.699997,188.699997,10312900
5/29/2019,187.100006,192.389999,185.039993,189.860001,189.860001,11968600
5/30/2019,188.75,192.259995,187.020004,188.220001,188.220001,7926500
5/31/2019,185.100006,189.919998,184.100006,185.160004,185.160004,10406700
6/3/2019,185.509995,186.679993,176.990005,178.970001,178.970001,13064400
6/4/2019,181.100006,193.979996,179.610001,193.600006,193.600006,13807500
6/5/2019,198.679993,201.279999,191.850006,196.589996,196.589996,13510800
6/6/2019,204.440002,211,201.800003,205.949997,205.949997,20242200
6/7/2019,205,210.839996,203.5,204.5,204.5,16003500
6/10/2019,210.25,216.940002,209.009995,212.880005,212.880005,10585000
6/11/2019,219.139999,220.899994,213.5,217.100006,217.100006,11653500
6/12/2019,222.949997,223.380005,209,209.259995,209.259995,15197500
6/13/2019,210.380005,214.899994,207.509995,213.910004,213.910004,8168300
6/14/2019,211.25,216.649994,210.399994,214.919998,214.919998,7433400
6/17/2019,215.479996,227,214.270004,225.029999,225.029999,12316800
6/18/2019,228.720001,234.740005,222.559998,224.740005,224.740005,12715800
6/19/2019,225.110001,227.770004,221.059998,226.429993,226.429993,6575100
6/20/2019,223,226.899994,216.350006,219.619995,219.619995,11863500
6/21/2019,216.220001,222.179993,215.5,221.860001,221.860001,8202100
6/24/2019,223.240005,225.860001,221.020004,223.639999,223.639999,5750800
6/25/2019,224.389999,225.339996,219.490005,219.759995,219.759995,6182100
6/26/2019,220.309998,227.229996,218.100006,219.270004,219.270004,8507200
6/27/2019,219.449997,222.899994,217.350006,222.839996,222.839996,6339700
6/28/2019,220.990005,225.169998,220.800003,223.460007,223.460007,6851400
